b,DRXFCSD,DRXFCLD
24157310,"b'CHICKEN THIGH, FRIED, COATED, SKIN / COATING EATEN, FROM PRE'","b'Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked'"
24157311,"b'CHICKEN THIGH, FRIED, COATED, SKIN / COATING NOT EATEN, FROM'","b'Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked'"
24157320,"b'CHICKEN THIGH, FRIED, COATED, SKIN / COATING EATEN, FROM FAS'","b'Chicken thigh, fried, coated, skin / coating eaten, from fast food'"
24157321,"b'CHICKEN THIGH, FRIED, COATED, SKIN / COATING NOT EATEN, FROM'","b'Chicken thigh, fried, coated, skin / coating not eaten, from fast food'"
24157330,"b'CHICKEN THIGH, FRIED, COATED, SKIN / COATING EATEN, FROM RES'","b'Chicken thigh, fried, coated, skin / coating eaten, from restaurant'"
24157331,"b'CHICKEN THIGH, FRIED, COATED, SKIN / COATING NOT EATEN, FROM'","b'Chicken thigh, fried, coated, skin / coating not eaten, from restaurant'"
24157400,"b'CHICKEN THIGH, BAKED, COATED, SKIN / COATING EATEN'","b'Chicken thigh, baked, coated, skin / coating eaten'"
24157401,"b'CHICKEN THIGH, BAKED, COATED, SKIN / COATING NOT EATEN'","b'Chicken thigh, baked, coated, skin / coating not eaten'"
24160110,"b'CHICKEN WING, NS AS TO COOKING METHOD'","b'Chicken wing, NS as to cooking method'"
24162130,"b'CHICKEN WING, BAKED, BROILED, OR ROASTED, FROM RAW'","b'Chicken wing, baked, broiled, or roasted, from raw'"
24162140,"b'CHICKEN WING, BAKED OR BROILED, FROM PRE-COOKED'","b'Chicken wing, baked or broiled, from pre-cooked'"
24162150,"b'CHICKEN WING, BAKED OR BROILED, FROM FAST FOOD / RESTAURANT'","b'Chicken wing, baked or broiled, from fast food / restaurant'"
24162200,"b'CHICKEN WING, ROTISSERIE'","b'Chicken wing, rotisserie'"
24163110,"b'CHICKEN WING, STEWED'","b'Chicken wing, stewed'"
24164000,"b'CHICKEN WING, GRILLED WITHOUT SAUCE'","b'Chicken wing, grilled without sauce'"
24164010,"b'CHICKEN WING, GRILLED WITH SAUCE'","b'Chicken wing, grilled with sauce'"
24164200,"b'CHICKEN WING, SAUTEED'","b'Chicken wing, sauteed'"
24167200,"b'CHICKEN WING, FRIED, COATED, FROM RAW'","b'Chicken wing, fried, coated, from raw'"
24167210,"b'CHICKEN WING, FRIED, COATED, FROM PRE-COOKED'","b'Chicken wing, fried, coated, from pre-cooked'"
24167220,"b'CHICKEN WING, FRIED, COATED, FROM FAST FOOD'","b'Chicken wing, fried, coated, from fast food'"
24167230,"b'CHICKEN WING, FRIED, COATED, FROM RESTAURANT'","b'Chicken wing, fried, coated, from restaurant'"
24167300,"b'CHICKEN WING, BAKED, COATED'","b'Chicken wing, baked, coated'"
24168000,"b'CHICKEN ""WINGS"" WITH HOT SAUCE, FROM FAST FOOD / RESTAURANT'","b'Chicken ""wings"" with hot sauce, from fast food / restaurant'"
24168001,"b'CHICKEN ""WINGS"" WITH OTHER SAUCES OR SEASONING, FROM FAST FO'","b'Chicken ""wings"" with other sauces or seasoning, from fast food / restaurant'"
24168002,"b'CHICKEN ""WINGS"", PLAIN, FROM FAST FOOD / RESTAURANT'","b'Chicken ""wings"", plain, from fast food / restaurant'"
24168010,"b'CHICKEN ""WINGS"" WITH HOT SAUCE, FROM PRECOOKED'","b'Chicken ""wings"" with hot sauce, from precooked'"
24168011,"b'CHICKEN ""WINGS"" WITH OTHER SAUCES OR SEASONING, FROM PRECOOK'","b'Chicken ""wings"" with other sauces or seasoning, from precooked'"
24168012,"b'CHICKEN ""WINGS"", PLAIN, FROM PRECOOKED'","b'Chicken ""wings"", plain, from precooked'"
24168020,"b'CHICKEN ""WINGS"" WITH HOT SAUCE, FROM OTHER SOURCES'","b'Chicken ""wings"" with hot sauce, from other sources'"
24168021,"b'CHICKEN ""WINGS"" WITH OTHER SAUCES OR SEASONING, FROM OTHER S'","b'Chicken ""wings"" with other sauces or seasoning, from other sources'"
24168022,"b'CHICKEN ""WINGS"", PLAIN, FROM OTHER SOURCES'","b'Chicken ""wings"", plain, from other sources'"
24168030,"b'CHICKEN ""WINGS"", BONELESS, WITH HOT SAUCE, FROM FAST FOOD /'","b'Chicken ""wings"", boneless, with hot sauce, from fast food / restaurant'"
24168031,"b'CHICKEN ""WINGS"", BONELESS, WITH HOT SAUCE, FROM OTHER SOURCE'","b'Chicken ""wings"", boneless, with hot sauce, from other sources'"
24170200,"b'CHICKEN, BACK'","b'Chicken, back'"
24180200,"b'CHICKEN, NECK OR RIBS'","b'Chicken, neck or ribs'"
24198340,"b'CHICKEN, TAIL'","b'Chicken, tail'"
24198440,b'CHICKEN SKIN',b'Chicken skin'
24198500,b'CHICKEN FEET',b'Chicken feet'
24198570,"b'CHICKEN, CANNED, MEAT ONLY'","b'Chicken, canned, meat only'"
24198670,"b'CHICKEN, CHICKEN ROLL, ROASTED'","b'Chicken, chicken roll, roasted'"
24198671,"b'CHICKEN PATTY, BREADED'","b'Chicken patty, breaded'"
24198677,"b'CHICKEN FILLET, BREADED'","b'Chicken fillet, breaded'"
24198683,"b'CHICKEN FILLET, GRILLED'","b'Chicken fillet, grilled'"
24198720,"b'CHICKEN, GROUND'","b'Chicken, ground'"
24198729,"b'CHICKEN NUGGETS, NFS'","b'Chicken nuggets, NFS'"
24198731,"b'CHICKEN NUGGETS, FROM FAST FOOD'","b'Chicken nuggets, from fast food'"
24198732,"b'CHICKEN NUGGETS, FROM RESTAURANT'","b'Chicken nuggets, from restaurant'"
24198735,"b'CHICKEN NUGGETS, FROM SCHOOL LUNCH'","b'Chicken nuggets, from school lunch'"
24198736,"b'CHICKEN NUGGETS, FROM FROZEN'","b'Chicken nuggets, from frozen'"
24198737,"b'CHICKEN NUGGETS, FROM OTHER SOURCES'","b'Chicken nuggets, from other sources'"
24198739,"b'CHICKEN TENDERS OR STRIPS, NFS'","b'Chicken tenders or strips, NFS'"
24198741,"b'CHICKEN TENDERS OR STRIPS, BREADED, FROM FAST FOOD'","b'Chicken tenders or strips, breaded, from fast food'"
24198742,"b'CHICKEN TENDERS OR STRIPS, BREADED, FROM RESTAURANT'","b'Chicken tenders or strips, breaded, from restaurant'"
24198745,"b'CHICKEN TENDERS OR STRIPS, BREADED, FROM SCHOOL LUNCH'","b'Chicken tenders or strips, breaded, from school lunch'"
24198746,"b'CHICKEN TENDERS OR STRIPS, BREADED, FROM FROZEN'","b'Chicken tenders or strips, breaded, from frozen'"
24198747,"b'CHICKEN TENDERS OR STRIPS, BREADED, FROM OTHER SOURCES'","b'Chicken tenders or strips, breaded, from other sources'"
24201000,"b'TURKEY, NFS'","b'Turkey, NFS'"
24201020,"b'TURKEY, LIGHT MEAT, SKIN NOT EATEN'","b'Turkey, light meat, skin not eaten'"
24201030,"b'TURKEY, LIGHT MEAT, SKIN EATEN'","b'Turkey, light meat, skin eaten'"
24201060,"b'TURKEY, LIGHT MEAT, BREADED, BAKED OR FRIED, SKIN NOT EATEN'","b'Turkey, light meat, breaded, baked or fried, skin not eaten'"
24201070,"b'TURKEY, LIGHT MEAT, BREADED, BAKED OR FRIED, SKIN EATEN'","b'Turkey, light meat, breaded, baked or fried, skin eaten'"
24201120,"b'TURKEY, LIGHT MEAT, ROASTED, SKIN NOT EATEN'","b'Turkey, light meat, roasted, skin not eaten'"
24201130,"b'TURKEY, LIGHT MEAT, ROASTED, SKIN EATEN'","b'Turkey, light meat, roasted, skin eaten'"
24201220,"b'TURKEY, DARK MEAT, ROASTED, SKIN NOT EATEN'","b'Turkey, dark meat, roasted, skin not eaten'"
24201230,"b'TURKEY, DARK MEAT, ROASTED, SKIN EATEN'","b'Turkey, dark meat, roasted, skin eaten'"
24201320,"b'TURKEY, LIGHT AND DARK MEAT, ROASTED, SKIN NOT EATEN'","b'Turkey, light and dark meat, roasted, skin not eaten'"
24201330,"b'TURKEY, LIGHT AND DARK MEAT, ROASTED, SKIN EATEN'","b'Turkey, light and dark meat, roasted, skin eaten'"
24201360,"b'TURKEY, LIGHT OR DARK MEAT, FRIED, COATED, SKIN NOT EATEN'","b'Turkey, light or dark meat, fried, coated, skin not eaten'"
24201370,"b'TURKEY, LIGHT OR DARK MEAT, FRIED, COATED, SKIN EATEN'","b'Turkey, light or dark meat, fried, coated, skin eaten'"
24201410,"b'TURKEY, LIGHT OR DARK MEAT, STEWED, SKIN NOT EATEN'","b'Turkey, light or dark meat, stewed, skin not eaten'"
24201420,"b'TURKEY LIGHT OR DARK MEAT, STEWED, SKIN EATEN'","b'Turkey light or dark meat, stewed, skin eaten'"
24201510,"b'TURKEY, LIGHT OR DARK MEAT, SMOKED, SKIN EATEN'","b'Turkey, light or dark meat, smoked, skin eaten'"
24201520,"b'TURKEY, LIGHT OR DARK MEAT, SMOKED, SKIN NOT EATEN'","b'Turkey, light or dark meat, smoked, skin not eaten'"
24202010,"b'TURKEY, DRUMSTICK, COOKED, SKIN NOT EATEN'","b'Turkey, drumstick, cooked, skin not eaten'"
24202020,"b'TURKEY, DRUMSTICK, COOKED, SKIN EATEN'","b'Turkey, drumstick, cooked, skin eaten'"
24202060,"b'TURKEY, DRUMSTICK, ROASTED, SKIN NOT EATEN'","b'Turkey, drumstick, roasted, skin not eaten'"
24202070,"b'TURKEY, DRUMSTICK, ROASTED, SKIN EATEN'","b'Turkey, drumstick, roasted, skin eaten'"
24202460,"b'TURKEY, THIGH, COOKED, SKIN EATEN'","b'Turkey, thigh, cooked, skin eaten'"
24202500,"b'TURKEY, THIGH, COOKED, SKIN NOT EATEN'","b'Turkey, thigh, cooked, skin not eaten'"
24202600,"b'TURKEY, NECK'","b'Turkey, neck'"
24203010,"b'TURKEY, WING, COOKED, SKIN NOT EATEN'","b'Turkey, wing, cooked, skin not eaten'"
24203020,"b'TURKEY, WING, COOKED, SKIN EATEN'","b'Turkey, wing, cooked, skin eaten'"
24205000,"b'TURKEY, TAIL'","b'Turkey, tail'"
24205100,"b'TURKEY, BACK'","b'Turkey, back'"
24206000,"b'TURKEY, CANNED'","b'Turkey, canned'"
24207000,"b'TURKEY, GROUND'","b'Turkey, ground'"
24208000,"b'TURKEY, NUGGETS'","b'Turkey, nuggets'"
24208500,"b'TURKEY BACON, COOKED'","b'Turkey bacon, cooked'"
24208510,"b'TURKEY BACON, REDUCED SODIUM, COOKED'","b'Turkey bacon, reduced sodium, cooked'"
24300110,"b'DUCK, COOKED, SKIN EATEN'","b'Duck, cooked, skin eaten'"
24300120,"b'DUCK, COOKED, SKIN NOT EATEN'","b'Duck, cooked, skin not eaten'"
24301010,"b'DUCK, ROASTED, SKIN EATEN'","b'Duck, roasted, skin eaten'"
24301020,"b'DUCK, ROASTED, SKIN NOT EATEN'","b'Duck, roasted, skin not eaten'"
24302010,"b'DUCK, PEKING'","b'Duck, Peking'"
24311010,"b'GOOSE, WILD, ROASTED'","b'Goose, wild, roasted'"
24400010,"b'CORNISH GAME HEN, COOKED, SKIN EATEN'","b'Cornish game hen, cooked, skin eaten'"
24400020,"b'CORNISH GAME HEN, COOKED, SKIN NOT EATEN'","b'Cornish game hen, cooked, skin not eaten'"
24401010,"b'CORNISH GAME HEN, ROASTED, SKIN EATEN'","b'Cornish game hen, roasted, skin eaten'"
24401020,"b'CORNISH GAME HEN, ROASTED, SKIN NOT EATEN'","b'Cornish game hen, roasted, skin not eaten'"
24402100,"b'DOVE, COOKED, NS AS TO COOKING METHOD'","b'Dove, cooked, NS as to cooking method'"
24402110,"b'DOVE, FRIED'","b'Dove, fried'"
24403100,"b'QUAIL, COOKED'","b'Quail, cooked'"
24404100,"b'PHEASANT, COOKED'","b'Pheasant, cooked'"
24701010,b'BABY TODDLER CHICKEN',b'Baby Toddler chicken'
24703010,b'BABY TODDLER TURKEY',b'Baby Toddler turkey'
25110140,"b'LIVER, BEEF'","b'Liver, beef'"
25110450,"b'LIVER, CHICKEN'","b'Liver, chicken'"
25112200,"b'LIVER, PASTE OR PATE'","b'Liver, paste or pate'"
25120000,b'HEART',b'Heart'
25130000,b'KIDNEY',b'Kidney'
25140110,b'SWEETBREADS',b'Sweetbreads'
25150000,b'BRAINS',b'Brains'
25160000,b'TONGUE',b'Tongue'
25160130,"b'TONGUE POT ROAST, PUERTO RICAN STYLE'","b'Tongue pot roast, Puerto Rican style'"
25170110,b'TRIPE',b'Tripe'
25170210,b'CHITTERLINGS',b'Chitterlings'
25170310,b'HOG MAWS',b'Hog maws'
25170420,b'GIZZARD',b'Gizzard'
25210110,"b'HOT DOG, NFS'","b'Hot dog, NFS'"
25210210,"b'HOT DOG, BEEF'","b'Hot dog, beef'"
25210280,"b'HOT DOG, MEAT AND POULTRY'","b'Hot dog, meat and poultry'"
25210290,"b'HOT DOG, REDUCED FAT'","b'Hot dog, reduced fat'"
25210410,"b'HOT DOG, TURKEY'","b'Hot dog, turkey'"
25220105,b'BEEF SAUSAGE',b'Beef sausage'
25220150,b'BEEF SAUSAGE WITH CHEESE',b'Beef sausage with cheese'
25220210,b'BLOOD SAUSAGE',b'Blood sausage'
25220350,b'BRATWURST',b'Bratwurst'
25220360,"b'BRATWURST, WITH CHEESE'","b'Bratwurst, with cheese'"
25220410,b'BOLOGNA',b'Bologna'
25220425,"b'BOLOGNA, REDUCED FAT'","b'Bologna, reduced fat'"
25220435,"b'BOLOGNA, REDUCED SODIUM'","b'Bologna, reduced sodium'"
25220710,b'CHORIZO',b'Chorizo'
25220910,b'HEAD CHEESE',b'Head cheese'
25221110,b'KNOCKWURST',b'Knockwurst'
25221210,b'MORTADELLA',b'Mortadella'
25221215,"b'PASTRAMI, NFS'","b'Pastrami, NFS'"
25221220,"b'PASTRAMI, MADE FROM ANY KIND OF MEAT, REDUCED FAT'","b'Pastrami, made from any kind of meat, reduced fat'"
25221250,"b'PEPPERONI, NFS'","b'Pepperoni, NFS'"
25221255,"b'PEPPERONI, REDUCED FAT'","b'Pepperoni, reduced fat'"
25221260,"b'PEPPERONI, REDUCED SODIUM'","b'Pepperoni, reduced sodium'"
25221310,b'POLISH SAUSAGE',b'Polish sausage'
25221350,b'ITALIAN SAUSAGE',b'Italian sausage'
25221400,"b'SAUSAGE, NFS'","b'Sausage, NFS'"
25221405,b'PORK SAUSAGE',b'Pork sausage'
25221406,"b'PORK SAUSAGE, REDUCED FAT'","b'Pork sausage, reduced fat'"
25221408,"b'PORK SAUSAGE, REDUCED SODIUM'","b'Pork sausage, reduced sodium'"
25221460,b'PORK AND BEEF SAUSAGE',b'Pork and beef sausage'
25221500,"b'SALAMI, NFS'","b'Salami, NFS'"
25221505,"b'SALAMI, MADE FROM ANY TYPE OF MEAT, REDUCED FAT'","b'Salami, made from any type of meat, reduced fat'"
25221515,"b'SALAMI, MADE FROM ANY TYPE OF MEAT, REDUCED SODIUM'","b'Salami, made from any type of meat, reduced sodium'"
25221610,"b'SCRAPPLE, COOKED'","b'Scrapple, cooked'"
25221810,b'THURINGER',b'Thuringer'
25221830,b'TURKEY OR CHICKEN SAUSAGE',b'Turkey or chicken sausage'
25221855,"b'TURKEY OR CHICKEN SAUSAGE, REDUCED SODIUM'","b'Turkey or chicken sausage, reduced sodium'"
25221870,b'TURKEY OR CHICKEN AND PORK SAUSAGE',b'Turkey or chicken and pork sausage'
25221910,"b'VIENNA SAUSAGE, CANNED'","b'Vienna sausage, canned'"
25221950,b'PICKLED SAUSAGE',b'Pickled sausage'
25230110,"b'LUNCHEON MEAT, NFS'","b'Luncheon meat, NFS'"
25230210,"b'HAM, PREPACKAGED OR DELI, LUNCHEON MEAT'","b'Ham, prepackaged or deli, luncheon meat'"
25230220,"b'HAM, PREPACKAGED OR DELI, LUNCHEON MEAT, REDUCED SODIUM'","b'Ham, prepackaged or deli, luncheon meat, reduced sodium'"
25230320,"b'CHICKEN, PREPACKAGED OR DELI, LUNCHEON MEAT'","b'Chicken, prepackaged or deli, luncheon meat'"
25230340,"b'CHICKEN, PREPACKAGED OR DELI, LUNCHEON MEAT, REDUCED SODIUM'","b'Chicken, prepackaged or deli, luncheon meat, reduced sodium'"
25230420,"b'HAM LUNCHEON MEAT, LOAF TYPE'","b'Ham luncheon meat, loaf type'"
25230530,b'SPAM',b'Spam'
25230550,"b'SPAM, REDUCED SODIUM'","b'Spam, reduced sodium'"
25230560,b'LIVERWURST',b'Liverwurst'
25230610,"b'LUNCHEON MEAT, LOAF TYPE'","b'Luncheon meat, loaf type'"
25230780,"b'TURKEY, PREPACKAGED OR DELI, LUNCHEON MEAT'","b'Turkey, prepackaged or deli, luncheon meat'"
25230785,"b'TURKEY, PREPACKAGED OR DELI, LUNCHEON MEAT, REDUCED SODIUM'","b'Turkey, prepackaged or deli, luncheon meat, reduced sodium'"
25230800,"b'TURKEY HAM, PREPACKAGED OR DELI, LUNCHEON MEAT'","b'Turkey ham, prepackaged or deli, luncheon meat'"
25231110,"b'BEEF, PREPACKAGED OR DELI, LUNCHEON MEAT'","b'Beef, prepackaged or deli, luncheon meat'"
25231120,"b'BEEF, PREPACKAGED OR DELI, LUNCHEON MEAT, REDUCED SODIUM'","b'Beef, prepackaged or deli, luncheon meat, reduced sodium'"
25240000,"b'MEAT SPREAD OR POTTED MEAT, NFS'","b'Meat spread or potted meat, NFS'"
25240110,b'CHICKEN SALAD SPREAD',b'Chicken salad spread'
25240220,b'HAM SALAD SPREAD',b'Ham salad spread'
26100100,"b'FISH, RAW'","b'Fish, raw'"
26100110,"b'FISH, NFS'","b'Fish, NFS'"
26100120,"b'FISH, NS AS TO TYPE, BAKED OR BROILED'","b'Fish, NS as to type, baked or broiled'"
26100130,"b'FISH, NS AS TO TYPE, BAKED OR BROILED, COATED'","b'Fish, NS as to type, baked or broiled, coated'"
26100140,"b'FISH, NS AS TO TYPE, FRIED'","b'Fish, NS as to type, fried'"
26100160,"b'FISH, NS AS TO TYPE, STEAMED'","b'Fish, NS as to type, steamed'"
26100180,"b'FISH, CANNED'","b'Fish, canned'"
26100190,"b'FISH, SMOKED'","b'Fish, smoked'"
26100270,"b'FISH, STICK'","b'Fish, stick'"
26101110,"b'FISH, ANCHOVY'","b'Fish, anchovy'"
26105110,"b'FISH, CARP'","b'Fish, carp'"
26107110,"b'FISH, CATFISH, NFS'","b'Fish, catfish, NFS'"
26107120,"b'FISH, CATFISH, BAKED OR BROILED'","b'Fish, catfish, baked or broiled'"
26107123,"b'FISH, CATFISH, GRILLED'","b'Fish, catfish, grilled'"
26107130,"b'FISH, CATFISH, BAKED OR BROILED, COATED'","b'Fish, catfish, baked or broiled, coated'"
26107140,"b'FISH, CATFISH, FRIED'","b'Fish, catfish, fried'"
26107160,"b'FISH, CATFISH, STEAMED'","b'Fish, catfish, steamed'"
26109110,"b'FISH, COD, NFS'","b'Fish, cod, NFS'"
26109120,"b'FISH, COD, BAKED OR BROILED'","b'Fish, cod, baked or broiled'"
26109123,"b'FISH, COD, GRILLED'","b'Fish, cod, grilled'"
26109130,"b'FISH, COD, BAKED OR BROILED, COATED'","b'Fish, cod, baked or broiled, coated'"
26109140,"b'FISH, COD, FRIED'","b'Fish, cod, fried'"
26109160,"b'FISH, COD, STEAMED'","b'Fish, cod, steamed'"
26111110,"b'FISH, CROAKER'","b'Fish, croaker'"
26113110,"b'FISH, EEL'","b'Fish, eel'"
26115110,"b'FISH, FLOUNDER, NFS'","b'Fish, flounder, NFS'"
26115120,"b'FISH, FLOUNDER, BAKED OR BROILED'","b'Fish, flounder, baked or broiled'"
26115123,"b'FISH, FLOUNDER, GRILLED'","b'Fish, flounder, grilled'"
26115130,"b'FISH, FLOUNDER, BAKED OR BROILED, COATED'","b'Fish, flounder, baked or broiled, coated'"
26115140,"b'FISH, FLOUNDER, FRIED'","b'Fish, flounder, fried'"
26115160,"b'FISH, FLOUNDER, STEAMED'","b'Fish, flounder, steamed'"
26117110,"b'FISH, HADDOCK, NFS'","b'Fish, haddock, NFS'"
26117120,"b'FISH, HADDOCK, BAKED OR BROILED'","b'Fish, haddock, baked or broiled'"
26117121,"b'FISH, HADDOCK, GRILLED'","b'Fish, haddock, grilled'"
26117130,"b'FISH, HADDOCK, BAKED OR BROILED, COATED'","b'Fish, haddock, baked or broiled, coated'"
26117140,"b'FISH, HADDOCK, FRIED'","b'Fish, haddock, fried'"
26117160,"b'FISH, HADDOCK, STEAMED'","b'Fish, haddock, steamed'"
26118010,"b'FISH, HALIBUT'","b'Fish, halibut'"
26119110,"b'FISH, HERRING'","b'Fish, herring'"
26119180,"b'FISH, PICKLED'","b'Fish, pickled'"
26121110,"b'FISH, MACKEREL, NFS'","b'Fish, mackerel, NFS'"
26121120,"b'FISH, MACKEREL, BAKED OR BROILED'","b'Fish, mackerel, baked or broiled'"
26121121,"b'FISH, MACKEREL, GRILLED'","b'Fish, mackerel, grilled'"
26121131,"b'FISH, MACKEREL, BAKED OR BROILED, COATED'","b'Fish, mackerel, baked or broiled, coated'"
26121140,"b'FISH, MACKEREL, FRIED'","b'Fish, mackerel, fried'"
26121180,"b'FISH, MACKEREL, CANNED'","b'Fish, mackerel, canned'"
26123110,"b'FISH, MULLET'","b'Fish, mullet'"
26127110,"b'FISH, PERCH, NFS'","b'Fish, perch, NFS'"
26127120,"b'FISH, PERCH, BAKED OR BROILED'","b'Fish, perch, baked or broiled'"
26127123,"b'FISH, PERCH, GRILLED'","b'Fish, perch, grilled'"
26127130,"b'FISH, PERCH, BAKED OR BROILED, COATED'","b'Fish, perch, baked or broiled, coated'"
26127140,"b'FISH, PERCH, FRIED'","b'Fish, perch, fried'"
26127160,"b'FISH, PERCH, STEAMED'","b'Fish, perch, steamed'"
26129110,"b'FISH, PIKE'","b'Fish, pike'"
26131110,"b'FISH, POMPANO, NFS'","b'Fish, pompano, NFS'"
26131120,"b'FISH, POMPANO, BAKED OR BROILED'","b'Fish, pompano, baked or broiled'"
26131121,"b'FISH, POMPANO, GRILLED'","b'Fish, pompano, grilled'"
26131130,"b'FISH, POMPANO, BAKED OR BROILED, COATED'","b'Fish, pompano, baked or broiled, coated'"
26131140,"b'FISH, POMPANO, FRIED'","b'Fish, pompano, fried'"
26131160,"b'FISH, POMPANO, STEAMED'","b'Fish, pompano, steamed'"
26133110,"b'FISH, SNAPPER'","b'Fish, snapper'"
26137100,"b'FISH, SALMON, RAW'","b'Fish, salmon, raw'"
26137110,"b'FISH, SALMON, NFS'","b'Fish, salmon, NFS'"
26137120,"b'FISH, SALMON, BAKED OR BROILED'","b'Fish, salmon, baked or broiled'"
26137123,"b'FISH, SALMON, GRILLED'","b'Fish, salmon, grilled'"
26137130,"b'FISH, SALMON, BAKED OR BROILED, COATED'","b'Fish, salmon, baked or broiled, coated'"
26137140,"b'FISH, SALMON, FRIED'","b'Fish, salmon, fried'"
26137160,"b'FISH, SALMON, STEAMED'","b'Fish, salmon, steamed'"
26137180,"b'FISH, SALMON, CANNED'","b'Fish, salmon, canned'"
26137190,"b'FISH, SALMON, SMOKED'","b'Fish, salmon, smoked'"
26139180,"b'FISH, SARDINES, CANNED'","b'Fish, sardines, canned'"
26141110,"b'FISH, BASS, NFS'","b'Fish, bass, NFS'"
26141120,"b'FISH, BASS, BAKED OR BROILED'","b'Fish, bass, baked or broiled'"
26141121,"b'FISH, BASS, GRILLED'","b'Fish, bass, grilled'"
26141130,"b'FISH, BASS, BAKED OR BROILED, COATED'","b'Fish, bass, baked or broiled, coated'"
26141140,"b'FISH, BASS, FRIED'","b'Fish, bass, fried'"
26141160,"b'FISH, BASS, STEAMED'","b'Fish, bass, steamed'"
26143110,"b'FISH, SHARK'","b'Fish, shark'"
26149110,"b'FISH, SWORDFISH'","b'Fish, swordfish'"
26151110,"b'FISH, TROUT, NFS'","b'Fish, trout, NFS'"
26151120,"b'FISH, TROUT, BAKED OR BROILED'","b'Fish, trout, baked or broiled'"
26151123,"b'FISH, TROUT, GRILLED'","b'Fish, trout, grilled'"
26151130,"b'FISH, TROUT, BAKED OR BROILED, COATED'","b'Fish, trout, baked or broiled, coated'"
26151140,"b'FISH, TROUT, FRIED'","b'Fish, trout, fried'"
26151160,"b'FISH, TROUT, STEAMED'","b'Fish, trout, steamed'"
26153100,"b'FISH, TUNA, RAW'","b'Fish, tuna, raw'"
26153110,"b'FISH, TUNA, NFS'","b'Fish, tuna, NFS'"
26153120,"b'FISH, TUNA, COOKED'","b'Fish, tuna, cooked'"
26155110,"b'FISH, TUNA, CANNED'","b'Fish, tuna, canned'"
26157110,"b'FISH, WHITING, NFS'","b'Fish, whiting, NFS'"
26157120,"b'FISH, WHITING, BAKED OR BROILED'","b'Fish, whiting, baked or broiled'"
26157123,"b'FISH, WHITING, GRILLED'","b'Fish, whiting, grilled'"
26157130,"b'FISH, WHITING, BAKED OR BROILED, COATED'","b'Fish, whiting, baked or broiled, coated'"
26157140,"b'FISH, WHITING, FRIED'","b'Fish, whiting, fried'"
26157160,"b'FISH, WHITING, STEAMED'","b'Fish, whiting, steamed'"
26158000,"b'FISH, TILAPIA, NFS'","b'Fish, tilapia, NFS'"
26158010,"b'FISH, TILAPIA, BAKED OR BROILED'","b'Fish, tilapia, baked or broiled'"
26158013,"b'FISH, TILAPIA, GRILLED'","b'Fish, tilapia, grilled'"
26158020,"b'FISH, TILAPIA, BAKED OR BROILED, COATED'","b'Fish, tilapia, baked or broiled, coated'"
26158030,"b'FISH, TILAPIA, FRIED'","b'Fish, tilapia, fried'"
26158050,"b'FISH, TILAPIA, STEAMED'","b'Fish, tilapia, steamed'"
26158100,"b'FISH, WHITE, MIXED SPECIES, NFS'","b'Fish, white, mixed species, NFS'"
26158110,"b'FISH, WHITE, MIXED SPECIES, BAKED OR BROILED'","b'Fish, white, mixed species, baked or broiled'"
26158120,"b'FISH, WHITE, MIXED SPECIES, BAKED OR BROILED, COATED'","b'Fish, white, mixed species, baked or broiled, coated'"
26158130,"b'FISH, WHITE, MIXED SPECIES, FRIED'","b'Fish, white, mixed species, fried'"
26158140,"b'FISH, WHITE, MIXED SPECIES, STEAMED'","b'Fish, white, mixed species, steamed'"
26158150,"b'FISH, WHITE, MIXED SPECIES, GRILLED'","b'Fish, white, mixed species, grilled'"
26203110,b'FROG LEGS',b'Frog legs'
26205110,b'OCTOPUS',b'Octopus'
26211100,b'CAVIAR',b'Caviar'
26213120,"b'CALAMARI, COOKED'","b'Calamari, cooked'"
26213140,"b'CALAMARI, FRIED'","b'Calamari, fried'"
26215120,b'TURTLE',b'Turtle'
26300000,"b'SHELLFISH, NFS'","b'Shellfish, NFS'"
26301110,b'ABALONE',b'Abalone'
26303100,"b'CLAMS, RAW'","b'Clams, raw'"
26303110,"b'CLAMS, NFS'","b'Clams, NFS'"
26303120,"b'CLAMS, BAKED OR BROILED'","b'Clams, baked or broiled'"
26303140,"b'CLAMS, FRIED'","b'Clams, fried'"
26303160,"b'CLAMS, STEAMED OR BOILED'","b'Clams, steamed or boiled'"
26303180,"b'CLAMS, CANNED'","b'Clams, canned'"
26305160,b'CRAB',b'Crab'
26305180,"b'CRAB, CANNED'","b'Crab, canned'"
26307140,"b'CRAB, SOFT SHELL'","b'Crab, soft shell'"
26309140,"b'CRAYFISH, FRIED'","b'Crayfish, fried'"
26309160,"b'CRAYFISH, COOKED'","b'Crayfish, cooked'"
26311110,b'LOBSTER',b'Lobster'
26313110,b'MUSSELS',b'Mussels'
26315100,"b'OYSTERS, RAW'","b'Oysters, raw'"
26315120,"b'OYSTERS, BAKED OR BROILED'","b'Oysters, baked or broiled'"
26315130,"b'OYSTERS, STEAMED'","b'Oysters, steamed'"
26315140,"b'OYSTERS, FRIED'","b'Oysters, fried'"
26315180,"b'OYSTERS, CANNED'","b'Oysters, canned'"
26317120,"b'SCALLOPS, BAKED OR BROILED'","b'Scallops, baked or broiled'"
