b,DRXFCSD,DRXFCLD
11440070,"b'VEGETABLE DIP, YOGURT BASED'","b'Vegetable dip, yogurt based'"
11446000,"b'YOGURT PARFAIT, WITH FRUIT'","b'Yogurt parfait, with fruit'"
11459990,"b'FROZEN YOGURT, NFS'","b'Frozen yogurt, NFS'"
11460000,"b'FROZEN YOGURT, VANILLA'","b'Frozen yogurt, vanilla'"
11460100,"b'FROZEN YOGURT, CHOCOLATE'","b'Frozen yogurt, chocolate'"
11460500,"b'FROZEN YOGURT, SOFT SERVE, VANILLA'","b'Frozen yogurt, soft serve, vanilla'"
11460510,"b'FROZEN YOGURT, SOFT SERVE, CHOCOLATE'","b'Frozen yogurt, soft serve, chocolate'"
11461200,b'FROZEN YOGURT SANDWICH',b'Frozen yogurt sandwich'
11461210,"b'FROZEN YOGURT BAR, VANILLA'","b'Frozen yogurt bar, vanilla'"
11461220,"b'FROZEN YOGURT BAR, CHOCOLATE'","b'Frozen yogurt bar, chocolate'"
11461250,"b'FROZEN YOGURT CONE, CHOCOLATE'","b'Frozen yogurt cone, chocolate'"
11461260,"b'FROZEN YOGURT CONE, VANILLA'","b'Frozen yogurt cone, vanilla'"
11461300,"b'FROZEN YOGURT CONE, VANILLA, WAFFLE CONE'","b'Frozen yogurt cone, vanilla, waffle cone'"
11461320,"b'FROZEN YOGURT CONE, CHOCOLATE, WAFFLE CONE'","b'Frozen yogurt cone, chocolate, waffle cone'"
11480000,"b'BABY TODDLER FOOD, NFS'","b'Baby Toddler food, NFS'"
11480010,"b'BABY TODDLER YOGURT, PLAIN'","b'Baby Toddler yogurt, plain'"
11480100,"b'BABY TODDLER YOGURT, WITH FRUIT'","b'Baby Toddler yogurt, with fruit'"
11511000,"b'CHOCOLATE MILK, NFS'","b'Chocolate milk, NFS'"
11511100,"b'CHOCOLATE MILK, WHOLE'","b'Chocolate milk, whole'"
11511200,"b'CHOCOLATE MILK, REDUCED FAT (2%)'","b'Chocolate milk, reduced fat (2%)'"
11511300,"b'CHOCOLATE MILK, FAT FREE (SKIM)'","b'Chocolate milk, fat free (skim)'"
11511400,"b'CHOCOLATE MILK, LOW FAT (1%)'","b'Chocolate milk, low fat (1%)'"
11511550,"b'CHOCOLATE MILK, REDUCED SUGAR, NFS'","b'Chocolate milk, reduced sugar, NFS'"
11512005,"b'HOT CHOCOLATE / COCOA, NFS'","b'Hot chocolate / cocoa, NFS'"
11512010,"b'HOT CHOCOLATE / COCOA, MADE WITH WHOLE OR REDUCED FAT (2%) M'","b'Hot chocolate / cocoa, made with whole or reduced fat (2%) milk'"
11512020,"b'HOT CHOCOLATE / COCOA, MADE WITH LOWFAT (1%) OR FAT FREE (SK'","b'Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk'"
11512030,"b'HOT CHOCOLATE / COCOA, MADE WITH NON-DAIRY MILK'","b'Hot chocolate / cocoa, made with non-dairy milk'"
11512100,"b'HOT CHOCOLATE / COCOA, WITH WHIPPED CREAM'","b'Hot chocolate / cocoa, with whipped cream'"
11513380,"b'CHOCOLATE MILK, NESQUIK, NS AS TO TYPE OF MILK'","b'Chocolate milk, Nesquik, NS as to type of milk'"
11513385,"b'CHOCOLATE MILK, NESQUIK, MADE WITH NON-DAIRY MILK'","b'Chocolate milk, Nesquik, made with non-dairy milk'"
11513801,"b'CHOCOLATE MILK, REDUCED SUGAR, WHOLE'","b'Chocolate milk, reduced sugar, whole'"
11513802,"b'CHOCOLATE MILK, REDUCED SUGAR, REDUCED FAT (2%)'","b'Chocolate milk, reduced sugar, reduced fat (2%)'"
11513803,"b'CHOCOLATE MILK, REDUCED SUGAR, LOW FAT (1%)'","b'Chocolate milk, reduced sugar, low fat (1%)'"
11513804,"b'CHOCOLATE MILK, REDUCED SUGAR, FAT FREE (SKIM)'","b'Chocolate milk, reduced sugar, fat free (skim)'"
11514100,"b'HOT CHOCOLATE / COCOA, DRY MIX, MADE WITH WATER'","b'Hot chocolate / cocoa, dry mix, made with water'"
11514110,"b'HOT CHOCOLATE / COCOA, DRY MIX, MADE WITH WHOLE OR REDUCED F'","b'Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk'"
11514130,"b'HOT CHOCOLATE / COCOA, DRY MIX, MADE WITH LOWFAT (1%) OR FAT'","b'Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk'"
11514150,"b'HOT CHOCOLATE / COCOA, DRY MIX , MADE WITH NON-DAIRY MILK'","b'Hot chocolate / cocoa, dry mix , made with non-dairy milk'"
11514160,"b'HOT CHOCOLATE / COCOA, DRY MIX, MADE WITH WATER, WITH WHIPPE'","b'Hot chocolate / cocoa, dry mix, made with water, with whipped cream'"
11514310,"b'HOT CHOCOLATE / COCOA, DRY MIX, REDUCED SUGAR, MADE WITH WAT'","b'Hot chocolate / cocoa, dry mix, reduced sugar, made with water'"
11514320,"b'HOT CHOCOLATE / COCOA, DRY MIX, REDUCED SUGAR, MADE WITH WHO'","b'Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk'"
