DRXFDCD,DRXFCSD,DRXFCLD
27250260.0,"b'LOBSTER WITH BREAD STUFFING, BAKED'","b'Lobster with bread stuffing, baked'"
27250270.0,b'CLAMS CASINO',b'Clams Casino'
27250400.0,"b'SHRIMP, CAKE OR PATTY'","b'Shrimp, cake or patty'"
27250410.0,b'SHRIMP WITH CRAB STUFFING',b'Shrimp with crab stuffing'
27250450.0,b'SHRIMP TOAST',b'Shrimp toast'
27250520.0,b'IMITATION CRAB MEAT',b'Imitation crab meat'
27250550.0,b'SEAFOOD SOUFFLE',b'Seafood souffle'
27250610.0,b'TUNA NOODLE CASSEROLE WITH CREAM OR WHITE SAUCE',b'Tuna noodle casserole with cream or white sauce'
27250630.0,b'TUNA NOODLE CASSEROLE WITH MUSHROOM SAUCE',b'Tuna noodle casserole with mushroom sauce'
27250710.0,b'TUNA AND RICE WITH MUSHROOM SAUCE',b'Tuna and rice with mushroom sauce'
27250810.0,b'FISH AND RICE WITH TOMATO-BASED SAUCE',b'Fish and rice with tomato-based sauce'
27250820.0,b'FISH AND RICE WITH CREAM SAUCE',b'Fish and rice with cream sauce'
27250830.0,b'FISH AND RICE WITH MUSHROOM SAUCE',b'Fish and rice with mushroom sauce'
27250900.0,b'FISH AND NOODLES WITH MUSHROOM SAUCE',b'Fish and noodles with mushroom sauce'
27250950.0,b'SHELLFISH AND NOODLES WITH TOMATO-BASED SAUCE',b'Shellfish and noodles with tomato-based sauce'
27251010.0,"b'STEWED SALMON, PUERTO RICAN STYLE'","b'Stewed salmon, Puerto Rican style'"
27260010.0,"b'MEAT LOAF, NS AS TO TYPE OF MEAT'","b'Meat loaf, NS as to type of meat'"
27260050.0,"b'MEATBALLS, WITH BREADING, NS AS TO TYPE OF MEAT, WITH GRAVY'","b'Meatballs, with breading, NS as to type of meat, with gravy'"
27260080.0,b'MEAT LOAF MADE WITH BEEF AND PORK',b'Meat loaf made with beef and pork'
27260090.0,"b'MEAT LOAF MADE WITH BEEF, VEAL AND PORK'","b'Meat loaf made with beef, veal and pork'"
27260100.0,"b'MEAT LOAF MADE WITH BEEF AND PORK, WITH TOMATO-BASED SAUCE'","b'Meat loaf made with beef and pork, with tomato-based sauce'"
27260110.0,"b'HASH, NS AS TO TYPE OF MEAT'","b'Hash, NS as to type of meat'"
27260500.0,"b'VIENNA SAUSAGES STEWED WITH POTATOES, PUERTO RICAN STYLE'","b'Vienna sausages stewed with potatoes, Puerto Rican style'"
27261500.0,"b'STEWED, SEASONED, GROUND BEEF AND PORK WITH POTATOES, MEXICA'","b'Stewed, seasoned, ground beef and pork with potatoes, Mexican style'"
27311110.0,"b'BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,'","b'Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce'"
27311120.0,"b'BEEF, POTATOES, AND VEGETABLES, EXCLUDING CARROTS, BROCCOLI,'","b'Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce'"
27311210.0,"b'CORNED BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BRO'","b'Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce'"
27311220.0,"b'CORNED BEEF, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BRO'","b'Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce'"
27311310.0,"b'STEW, BEEF, CANNED'","b'Stew, beef, canned'"
27311410.0,"b'STEW, BEEF'","b'Stew, beef'"
27311430.0,"b'STEW, BEEF, WITH PASTA'","b'Stew, beef, with pasta'"
27311510.0,"b""SHEPHERD'S PIE""","b""Shepherd's pie"""
27311600.0,"b'BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,'","b'Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy'"
27311605.0,"b'BEEF, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,'","b'Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy'"
27311610.0,"b'BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,'","b'Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce'"
27311620.0,"b'BEEF, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,'","b'Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce'"
27311625.0,"b'BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,'","b'Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce'"
27311630.0,"b'BEEF, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,'","b'Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce'"
27311635.0,"b'BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,'","b'Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce'"
27311640.0,"b'BEEF, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,'","b'Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce'"
27311645.0,"b'BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,'","b'Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce'"
27311650.0,"b'BEEF, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,'","b'Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce'"
27313010.0,"b'BEEF, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, A'","b'Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce'"
27313020.0,"b'BEEF, NOODLES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, A'","b'Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce'"
27313110.0,b'BEEF CHOW MEIN OR CHOP SUEY WITH NOODLES',b'Beef chow mein or chop suey with noodles'
27313150.0,"b'BEEF, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, A'","b'Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce'"
27313160.0,"b'BEEF, NOODLES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, A'","b'Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce'"
27313210.0,"b'BEEF, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, A'","b'Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce'"
27313220.0,"b'BEEF, NOODLES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, A'","b'Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce'"
27313310.0,"b'BEEF, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, A'","b'Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce'"
27313320.0,"b'BEEF, NOODLES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, A'","b'Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce'"
27313410.0,"b'BEEF, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, A'","b'Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy'"
27313420.0,"b'BEEF, NOODLES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, A'","b'Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy'"
27315010.0,"b'BEEF, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND/'","b'Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce'"
27315020.0,"b'BEEF, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND'","b'Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce'"
27315210.0,"b'BEEF, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND/'","b'Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce'"
27315220.0,"b'BEEF, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND/'","b'Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce'"
27315250.0,b'STUFFED CABBAGE ROLLS WITH BEEF AND RICE',b'Stuffed cabbage rolls with beef and rice'
27315270.0,b'STUFFED GRAPE LEAVES WITH BEEF AND RICE',b'Stuffed grape leaves with beef and rice'
27315310.0,"b'BEEF, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND/'","b'Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce'"
27315320.0,"b'BEEF, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND'","b'Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce'"
27315330.0,"b'BEEF, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND/'","b'Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce'"
27315340.0,"b'BEEF, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND'","b'Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce'"
27315410.0,"b'BEEF, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND/'","b'Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy'"
27315420.0,"b'BEEF, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND'","b'Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy'"
27315510.0,"b'BEEF, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND/'","b'Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce'"
27315520.0,"b'BEEF, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND'","b'Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce'"
27317010.0,"b'POT PIE, BEEF'","b'Pot pie, beef'"
27317100.0,"b'BEEF, DUMPLINGS, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,'","b'Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy'"
27317110.0,"b'BEEF, DUMPLINGS, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,'","b'Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy'"
27319010.0,"b'STUFFED GREEN PEPPER, PUERTO RICAN STYLE'","b'Stuffed green pepper, Puerto Rican style'"
27320025.0,"b'HAM OR PORK, NOODLES AND VEGETABLES EXCLUDING CARROTS, BROCC'","b'Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce'"
27320027.0,"b'HAM OR PORK, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROC'","b'Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce'"
27320030.0,"b'HAM OR PORK, NOODLES AND VEGETABLES EXCLUDING CARROTS, BROCC'","b'Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce'"
27320040.0,"b'PORK, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,'","b'Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce'"
27320070.0,"b'HAM OR PORK, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROC'","b'Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce'"
27320080.0,"b'SAUSAGE, NOODLES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI'","b'Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce'"
27320090.0,"b'SAUSAGE, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI'","b'Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce'"
27320100.0,"b'PORK, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,'","b'Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce'"
27320110.0,"b'PORK, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,'","b'Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce'"
27320120.0,"b'SAUSAGE, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOL'","b'Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy'"
27320130.0,"b'SAUSAGE, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOL'","b'Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy'"
27320140.0,"b'PORK, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,'","b'Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy'"
27320150.0,"b'PORK, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,'","b'Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy'"
27320210.0,"b'PORK, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,'","b'Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce'"
27320310.0,b'PORK CHOW MEIN OR CHOP SUEY WITH NOODLES',b'Pork chow mein or chop suey with noodles'
27320320.0,"b'PORK, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND/'","b'Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce'"
27320330.0,"b'PORK, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND'","b'Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce'"
27320340.0,"b'PORK, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND/'","b'Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce'"
27320350.0,"b'PORK, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND'","b'Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce'"
27320410.0,"b'HAM, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, A'","b'Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce'"
27320450.0,"b'HAM, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, A'","b'Ham, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce'"
27320500.0,b'SWEET AND SOUR PORK WITH RICE',b'Sweet and sour pork with rice'
27330050.0,"b'LAMB OR MUTTON, RICE, AND VEGETABLES EXCLUDING CARROTS, BROC'","b'Lamb or mutton, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy'"
27330060.0,"b'LAMB OR MUTTON, RICE, AND VEGETABLES INCLUDING CARROTS, BROC'","b'Lamb or mutton, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce'"
27330080.0,"b'LAMB OR MUTTON, RICE, AND VEGETABLES  INCLUDING CARROTS, BRO'","b'Lamb or mutton, rice, and vegetables  including carrots, broccoli, and/or dark-green leafy; gravy'"
27330170.0,b'STUFFED GRAPE LEAVES WITH LAMB AND RICE',b'Stuffed grape leaves with lamb and rice'
27330210.0,"b'STEW, LAMB'","b'Stew, lamb'"
27335500.0,"b'STEWED RABBIT, PUERTO RICAN STYLE,'","b'Stewed rabbit, Puerto Rican style,'"
27336200.0,"b'VENISON OR DEER, POTATOES, AND VEGETABLES INCLUDING CARROTS,'","b'Venison or deer, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy'"
27336250.0,"b'VENISON OR DEER, POTATOES, AND VEGETABLES EXCLUDING CARROTS,'","b'Venison or deer, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy'"
27336300.0,"b'VENISON OR DEER, NOODLES, AND VEGETABLES INCLUDING CARROTS,'","b'Venison or deer, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce'"
27336310.0,"b'VENISON OR DEER, NOODLES, AND VEGETABLES EXCLUDING CARROTS,'","b'Venison or deer, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce'"
27341000.0,"b'CHICKEN OR TURKEY, POTATOES, CORN, AND CHEESE, WITH GRAVY'","b'Chicken or turkey, potatoes, corn, and cheese, with gravy'"
27341010.0,"b'CHICKEN OR TURKEY, POTATOES, AND VEGETABLES INCLUDING CARROT'","b'Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce'"
27341020.0,"b'CHICKEN OR TURKEY, POTATOES, AND VEGETABLES EXCLUDING CARROT'","b'Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce'"
27341025.0,"b'CHICKEN OR TURKEY, POTATOES, AND VEGETABLES INCLUDING CARROT'","b'Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy'"
27341030.0,"b'CHICKEN OR TURKEY, POTATOES, AND VEGETABLES EXCLUDING CARROT'","b'Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy'"
27341035.0,"b'CHICKEN OR TURKEY, POTATOES, AND VEGETABLES INCLUDING CARROT'","b'Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce'"
27341040.0,"b'CHICKEN OR TURKEY, POTATOES, AND VEGETABLES EXCLUDING CARROT'","b'Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce'"
27341045.0,"b'CHICKEN OR TURKEY, POTATOES, AND VEGETABLES INCLUDING CARROT'","b'Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce'"
27341050.0,"b'CHICKEN OR TURKEY, POTATOES, AND VEGETABLES EXCLUDING CARROT'","b'Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce'"
27341055.0,"b'CHICKEN OR TURKEY, POTATOES, AND VEGETABLES INCLUDING CARROT'","b'Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce'"
27341060.0,"b'CHICKEN OR TURKEY, POTATOES, AND VEGETABLES EXCLUDING CARROT'","b'Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce'"
27341330.0,"b'STEW, CHICKEN, WITH PASTA'","b'Stew, chicken, with pasta'"
27341520.0,"b'STEW, CHICKEN'","b'Stew, chicken'"
27343010.0,"b'CHICKEN OR TURKEY, NOODLES, AND VEGETABLES INCLUDING CARROTS'","b'Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce'"
27343020.0,"b'CHICKEN OR TURKEY, NOODLES, AND VEGETABLES EXCLUDING CARROTS'","b'Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce'"
27343410.0,"b'CHICKEN OR TURKEY, NOODLES, AND VEGETABLES INCLUDING CARROTS'","b'Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy'"
27343420.0,"b'CHICKEN OR TURKEY, NOODLES, AND VEGETABLES EXCLUDING CARROTS'","b'Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy'"
27343470.0,"b'CHICKEN OR TURKEY, NOODLES, AND VEGETABLES INCLUDING CARROTS'","b'Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce'"
27343480.0,"b'CHICKEN OR TURKEY, NOODLES, AND VEGETABLES EXCLUDING CARROTS'","b'Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce'"
27343510.0,"b'CHICKEN OR TURKEY, NOODLES, AND VEGETABLES INCLUDING CARROTS'","b'Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce'"
27343520.0,"b'CHICKEN OR TURKEY, NOODLES, AND VEGETABLES EXCLUDING CARROTS'","b'Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce'"
27343910.0,b'CHICKEN OR TURKEY CHOW MEIN OR CHOP SUEY WITH NOODLES',b'Chicken or turkey chow mein or chop suey with noodles'
27343950.0,"b'CHICKEN OR TURKEY, NOODLES, AND VEGETABLES INCLUDING CARROTS'","b'Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce'"
27343960.0,"b'CHICKEN OR TURKEY, NOODLES, AND VEGETABLES EXCLUDING CARROTS'","b'Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce'"
27345010.0,"b'CHICKEN OR TURKEY, RICE, AND VEGETABLES INCLUDING CARROTS, B'","b'Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce'"
27345020.0,"b'CHICKEN OR TURKEY, RICE, AND VEGETABLES EXCLUDING CARROTS, B'","b'Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce'"
27345210.0,"b'CHICKEN OR TURKEY, RICE, AND VEGETABLES INCLUDING CARROTS, B'","b'Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy'"
27345220.0,"b'CHICKEN OR TURKEY, RICE, AND VEGETABLES EXCLUDING CARROTS, B'","b'Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy'"
27345230.0,"b'CHICKEN OR TURKEY, RICE, CORN, AND CHEESE, WITH GRAVY'","b'Chicken or turkey, rice, corn, and cheese, with gravy'"
27345310.0,"b'CHICKEN OR TURKEY, RICE, AND VEGETABLES INCLUDING CARROTS, B'","b'Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce'"
27345320.0,"b'CHICKEN OR TURKEY, RICE, AND VEGETABLES EXCLUDING CARROTS, B'","b'Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce'"
27345410.0,"b'CHICKEN OR TURKEY, RICE, AND VEGETABLES INCLUDING CARROTS, B'","b'Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce'"
27345420.0,"b'CHICKEN OR TURKEY, RICE, AND VEGETABLES EXCLUDING CARROTS, B'","b'Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce'"
27345440.0,"b'CHICKEN OR TURKEY, RICE, AND VEGETABLES INCLUDING CARROTS, B'","b'Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce'"
27345450.0,"b'CHICKEN OR TURKEY, RICE, AND VEGETABLES EXCLUDING CARROTS, B'","b'Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce'"
27345510.0,"b'CHICKEN OR TURKEY, RICE, AND VEGETABLES INCLUDING CARROTS, B'","b'Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce'"
27345520.0,"b'CHICKEN OR TURKEY, RICE, AND VEGETABLES EXCLUDING CARROTS, B'","b'Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce'"
27347100.0,"b'POT PIE, CHICKEN'","b'Pot pie, chicken'"
27347200.0,"b'CHICKEN OR TURKEY, STUFFING, AND VEGETABLES INCLUDING CARROT'","b'Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce'"
27347210.0,"b'CHICKEN OR TURKEY,STUFFING, AND VEGETABLES EXCLUDING CARROTS'","b'Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce'"
27347220.0,"b'CHICKEN OR TURKEY, STUFFING, AND VEGETABLES INCLUDING CARROT'","b'Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy'"
27347230.0,"b'CHICKEN OR TURKEY, STUFFING, AND VEGETABLES EXCLUDING CARROT'","b'Chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy'"
27347240.0,"b'CHICKEN OR TURKEY, DUMPLINGS, AND VEGETABLES INCLUDING CARRO'","b'Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy'"
27347250.0,"b'CHICKEN OR TURKEY, DUMPLINGS, AND VEGETABLES EXCLUDING CARRO'","b'Chicken or turkey, dumplings, and vegetables excluding carrots, broccoli, and dark green leafy; gravy'"
27348100.0,"b'CHICKEN FRICASSEE, PUERTO RICAN STYLE'","b'Chicken fricassee, Puerto Rican style'"
27350020.0,b'PAELLA WITH SEAFOOD',b'Paella with seafood'
27350050.0,b'SHRIMP CHOW MEIN OR CHOP SUEY WITH NOODLES',b'Shrimp chow mein or chop suey with noodles'
27350060.0,"b'SHRIMP CREOLE, WITH RICE'","b'Shrimp creole, with rice'"
27350080.0,"b'TUNA NOODLE CASSEROLE WITH VEGETABLES, CREAM OR WHITE SAUCE'","b'Tuna noodle casserole with vegetables, cream or white sauce'"
27350090.0,"b'FISH, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, A'","b'Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce'"
27350100.0,"b'FISH, NOODLES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, A'","b'Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce'"
27350110.0,"b'SOUP, BOUILLABAISSE'","b'Soup, bouillabaisse'"
27350410.0,b'TUNA NOODLE CASSEROLE WITH VEGETABLES AND MUSHROOM SAUCE',b'Tuna noodle casserole with vegetables and mushroom sauce'
27351010.0,"b'CODFISH WITH STARCHY VEGETABLES, PUERTO RICAN STYLE'","b'Codfish with starchy vegetables, Puerto Rican style'"
27351040.0,"b'BISCAYNE CODFISH, PUERTO RICAN STYLE'","b'Biscayne codfish, Puerto Rican style'"
27360000.0,"b'STEW, NFS'","b'Stew, NFS'"
27360080.0,"b'CHOW MEIN OR CHOP SUEY, NS AS TO TYPE OF MEAT, WITH NOODLES'","b'Chow mein or chop suey, NS as to type of meat, with noodles'"
27360090.0,"b'PAELLA, NFS'","b'Paella, NFS'"
27360120.0,"b'CHOW MEIN OR CHOP SUEY, VARIOUS TYPES OF MEAT, WITH NOODLES'","b'Chow mein or chop suey, various types of meat, with noodles'"
27362000.0,"b'STEWED TRIPE, WITH POTATOES, PUERTO RICAN STYLE'","b'Stewed tripe, with potatoes, Puerto Rican style'"
27363000.0,b'GUMBO WITH RICE',b'Gumbo with rice'
27363100.0,b'JAMBALAYA WITH MEAT AND RICE',b'Jambalaya with meat and rice'
27410210.0,"b'BEEF AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND/OR DARK'","b'Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce'"
27410220.0,"b'BEEF AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND DARK-GR'","b'Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce'"
27410250.0,"b'BEEF SHISH KABOB WITH VEGETABLES, EXCLUDING POTATOES'","b'Beef shish kabob with vegetables, excluding potatoes'"
